sell_price,sell_listings,median_price,name
$16.15,16,$9.67,Swift Claw
$6.85,3,$6.85,Autographed Inverse Bayonet
$8.12,37,$8.10,Dam'arakan Muzzle
$8.20,32,$7.83,Jagged Honor Banner
$7.77,46,$7.60,Blistering Shade
$11.43,47,$11.28,Silent Wake
$9.68,32,$9.54,Sullen Hollow
$5.93,,,Corrupted Umbral Glyph
$6.04,,,Corrupted Pyrexaec Flux
$0.31,61,$0.33,Spirit of Calm
$0.40,5,$0.40,Treasure of the Tangled Keepsake
$0.76,10,$0.76,Rhinoceros Order
$0.74,17,$0.75,Dragonfire
$0.66,8,$0.58,The Wolf Hunter
$0.26,6,$0.27,Inscribed Blessing of the Crested Umbra
$0.59,22,$0.56,Exalted Voice of the Magus Cypher
$2.34,,,Inscribed Stoneforged Horns
$0.27,341,$0.27,Fortune's Tout
$3.69,61,$3.54,Genuine Rapier of the Burning God Offhand
$3.87,68,$3.51,Genuine Rapier of the Burning God
$1.19,72,$1.12,Inscribed Sylvan Cascade
$0.14,2,$0.19,Inscribed Spirits of the Mothbinder
$1.19,268,$1.08,Peregrine Flight
$0.28,,,Inscribed Blissful Knave Coat
$0.27,1,$0.28,Inscribed Sinister Shadow Back
$1.15,,,Autographed Wings of the Arctic Recluse
$6.70,27,$6.47,Inverse Bayonet
$0.17,42,$0.16,Kinetic: Twin Deaths' Haunting
$0.48,343,$0.48,Chaos Fulcrum
$0.57,26,$0.55,Voice of Flockheart's Gamble
$12.60,69,$12.43,Hidden Vector - Blade
$13.40,7,$13.92,Golden Moonfall
$10.17,24,$7.80,Jagged Honor Blade
$12.60,,,Autographed Golden Krobeling
$10.63,27,$10.64,Righteous Thunderbolt
$10.92,42,$10.71,Sea Rake's Bridle
$7.17,21,$7.42,Shards of Exile
$12.00,35,$11.93,Soul Shredder
$12.84,6,$12.31,Helm of the Ardalan Interdictor
$9.24,50,$7.84,Pyrexaec Floe
$0.29,10,$0.23,Inscribed Scepter of the Grand Magus
$1.33,1,$1.21,Autographed Merry Wanderer's Brush
$1.72,161,$1.68,The Lightning Orchid
$1.40,8,$1.40,Huntling
$4.61,95,$5.35,Sullen Rampart
$0.19,,,International 2017 Autograph: Wang Yuno Jing
$0.87,13,$0.90,Auspicious Ember Spirit's Hat
$0.49,10,$0.48,Exalted Pauldrons of the Timekeeper
$0.42,5,$0.43,Exalted Style of the Timekeeper
$0.29,438,$0.30,First of the Flood
$0.29,539,$0.29,Progenitor's Bane
$0.21,544,$0.24,Scythes of Sorrow
$0.43,372,$0.44,Censer of Gliss
$0.73,244,$0.76,Shadow Masquerade
$6.57,29,$6.53,Staff of Perplex
$2.27,142,$2.27,Crux of Perplex
$0.74,62,$0.74,Inscribed Vigil Signet
$0.36,43,$0.35,Wrap of the Shifting Sorcerer
$0.77,19,$0.74,Infused Dress of the Bewitching Flare
$0.31,57,$0.30,Inscribed Colossal Crystal Chorus
$7.28,20,$7.27,Lamb to the Slaughter
$0.37,278,$0.37,Virga's Arc
$2.67,39,$1.90,Mega-Kills: Rick and Morty
$7.50,37,$6.72,Genuine Skittering Desolation
$0.88,202,$0.78,Taunt: Bring It On
$0.52,147,$0.43,Taunt: Ice Cold Baller
$0.50,198,$0.50,Taunt: Fearless Cadence
$0.48,187,$0.50,Taunt: Orderly Chaos
$1.52,75,$1.52,Golden Bloodfeather Feast
$0.92,39,$0.96,Voulge of the Andestian Sentinel
$0.57,11,$0.55,Snowstorm Huntress
$0.20,51,$0.22,Tail of the Scouring Dunes
$0.21,34,$0.20,Headpiece of the Andestian Sentinel
$0.29,205,$0.27,Taunt: Shaman Dance
$0.36,153,$0.38,Taunt: Harsh Critique
$0.70,287,$0.68,Taunt: Rolling Stone!
$0.18,22,$0.16,Ire of the Hinterlands Garb
$0.37,139,$0.38,Large Igneous Stone
,142,$0.25,Medium Igneous Stone
$0.24,138,$0.22,Small Igneous Stone
$0.29,24,$0.24,Hood of Diviner's Embrace
$0.24,725,$0.27,Judgement of the Fallen
$0.18,2,$0.20,Inscribed Blissful Knave Rapier
$0.36,1,$0.36,Inscribed Devourling
$1.84,9,$1.61,Prismatic: Miasmatic Grey
$3.29,13,$3.32,Prismatic: Dungeon Doom
$2.96,7,$2.96,Ethereal: Ethereal Flame
$0.13,1,$0.11,International 2019 Autograph: Chen AMS Juan
$1.18,39,$1.18,Kinetic: Crow's Feet
$1.01,23,$0.96,Inscribed Scavenging Guttleslug
$0.19,,,Inscribed Keeper of Oloxicam's Glass Belt
$2.11,,,Autographed Arms of Vile Reliquary
$0.97,,,Autographed Hood of the Spiteful Djinn
$0.25,1,$0.19,Inscribed Pauldrons of Sacred Light
$0.27,6,$0.17,Inscribed Robe of the Raikage Warrior
$0.48,3,$0.35,Inscribed Touch of the Bewitching Flare
$3.28,,,Autographed Pauldrons of the Honored Servant of the Empire
$0.84,,,Autographed Armor of the Dragon Palace
$1.15,54,$1.29,Belt of the Jade General
$0.71,1,$0.58,Red Warrior
$0.29,364,$0.32,Golden Twilight Schism
$0.28,135,$0.28,Tiny Igneous Stone
$1.56,10,$1.12,Inscribed Elixir of Dragon's Breath
$0.59,624,$0.56,Horns of the Betrayer
$0.24,31,$0.20,Redpaw
$0.53,1,$0.52,Inscribed Tempest Revelation
$0.99,3,$1.04,Inscribed Shearing Deposition
$0.70,8,$0.69,Inscribed Transversant Soul
$0.39,489,$0.38,Profane Union
$0.26,333,$0.26,Maraxiform's Ire
,205,$0.75,Pale Augur
$0.46,21,$0.46,Catalyst Cap
$4.22,84,$4.18,Inscribed Focal Resonance
$0.40,5,$0.40,Acid Hydra
$0.59,261,$0.60,Adoring Wingfall
$1.98,8,$1.83,Aghanim's Basher
$2.54,158,$2.35,Almond the Frondillo
$2.90,85,$2.97,Bitter Lineage
$1.07,127,$1.02,Severing Lash
$0.27,,,Heroic Headdress of the Ember Crane
$13.92,,,Inscribed Strongback the Swift
$0.46,5,$0.47,Inscribed The Order of Cyprin
$1.64,160,$1.52,Mandate of the Stormborn
$1.63,86,$1.57,Inscribed The Lightning Orchid
$0.39,87,$0.40,Off-Hand Weapon of the Forgotten Plane
$3.00,143,$2.92,Glaive of Oscilla
$1.93,256,$1.88,Hydrakan Latch
$1.09,245,$1.23,Golden Edge of the Lost Order
$1.58,3,$1.49,Wings of the Foulfell Corruptor
$6.92,6,$6.91,Armor of the Foulfell Corruptor
$1.68,9,$1.69,Autographed Mantle of the Whispered Bond
$1.58,63,$1.15,Inscribed Fin King's Charm
$2.38,,,Autographed Tail of Elder Convergence
$0.43,,,Autographed Helm of Unfettered Malevolence
$5.64,10,$5.66,Tiny Frostmoot
$9.04,10,$8.23,Large Frostmoot
$3.69,8,$3.57,Small Frostmoot
$3.24,7,$3.32,Medium Frostmoot
$1.24,121,$1.20,Fluttering Mortis
$0.54,321,$0.54,Golden Crucible of Rile
$0.24,306,$0.23,Paragon's Rebuke
$0.52,301,$0.54,Phantom Concord
$2.13,46,$1.85,Mane of the Sunwarrior
$0.50,147,$0.54,Mecha Boots of Travel Mk III
$3.06,84,$2.98,Hidden Vector - Hat
$3.30,156,$3.43,Apogee of the Guardian Flame
$3.18,271,$3.16,Reaper's Wreath
$1.61,6,$1.64,Affront of the Overseer
$1.69,6,$1.15,Chains of Vile Convocation
$2.99,60,$2.99,Genuine Serrakura
$0.42,156,$0.46,Maraxiform's Fate Bundle
$1.99,38,$1.88,Golden Piscean Pulverizer
$0.40,64,$0.41,Relic Blade of the Kuur-Ishiminari
$2.37,176,$2.10,The Spoils of Dezun
$0.12,67,$0.11,Surly Bogstomper Fishclub
$0.23,49,$0.24,Armor of Dirgesworn Dynasty
$0.15,54,$0.16,Helm of Dirgesworn Dynasty
$0.16,200,$0.15,Winter Lineage Hunter's Dawn Torch
$0.87,17,$0.88,Little Blink Dagger
$2.65,4,$2.60,Crown of Vile Convocation
$3.52,17,$3.54,Trove Carafe 2019
$8.30,25,$8.15,Inscribed Sullen Hollow
$2.42,110,$2.42,Taunt: Skip to the Good Stuff!
$1.04,161,$1.13,Daughters of Hydrophiinae
$6.27,12,$5.77,Inscribed Empyrean
$1.06,179,$1.07,Taunt: Deadly Grace
$0.40,11,$0.39,Pauldrons of Zebulon
$1.09,11,$0.88,Autographed Mask of the Confidant
$1.03,138,$0.71,Taunt: Fit to Rule
$2.34,71,$2.29,Hidden Vector - Belt
$2.26,69,$2.50,Hidden Vector - Armor
$0.95,106,$0.86,Taunt: Not Just Your Average Bear
$0.88,64,$0.89,Inscribed The Barren Crown
$1.43,31,$1.44,Taunt: Thorns and All
$0.80,296,$0.80,The Barren Vector
$0.89,83,$0.90,Fury of the Damned
$0.64,5,$0.59,Inscribed Wyrmwrought Flare
$0.97,1,$0.38,Autographed Staff of the Dragon Palace
$0.36,110,$0.42,Medium Scarlet Quarry
$0.27,108,$0.26,Small Scarlet Quarry
$3.19,12,$3.52,Inscribed Reaper's Wreath
$1.38,1,$0.98,Inscribed Orb of Deliverance
$8.99,2,$8.98,Inscribed Pyrexaec Floe
$0.07,1,$0.04,Heroic Wings of Obelis Staff
$1.99,83,$1.99,Mask of the Forgotten Plane
$0.36,161,$0.41,Taunt: Cat Wrangler
$2.27,161,$2.32,Auspice of the Whyrlegyge
$6.67,23,$5.89,Bane of the Deathstalkers - Belt
$3.48,36,$2.53,Bane of the Deathstalkers - Shoulder
$4.72,30,$4.58,Bane of the Deathstalkers - Head
$5.71,136,$3.67,Inscribed Arms of Desolation
$2.70,16,$1.89,Inscribed Floodmask
$3.81,90,$3.57,Bracers of Aeons
$3.77,31,$3.63,Golden Shadow Masquerade
$2.49,7,$2.50,Genuine Entropic Shoulderpads
$5.64,101,$5.57,World Chasm Artifact
$6.30,3,$4.62,Inscribed Mask of the Divine Sorrow
$7.99,1,$7.89,Coat of Fantoccini's Dilemma
$0.43,113,$0.45,Draining Wight
$1.74,16,$1.82,Honor of the Temple of the Fallen Sun
$0.29,111,$0.27,Tiny Scarlet Quarry
$2.79,6,$2.21,Cannon of the Occultist's Pursuit
$0.19,26,$0.18,Hood of Glorious Inspiration
$6.80,12,$6.85,Inscribed Shards of Exile
$11.05,11,$8.58,Inscribed Swift Claw
$0.23,11,$0.19,Harmonies of New Bloom Music Pack
$0.20,36,$0.22,Orb of Reminiscence
$9.26,17,$8.24,Inscribed Righteous Thunderbolt
$8.93,72,$9.56,Magus Accord
$0.27,349,$0.26,Yulsaria's Mantle
$0.82,213,$0.84,Golden Profane Union
$0.34,,,Heroic Infesting Incubator
$0.59,428,$0.59,Wyrmwrought Flare
$1.08,188,$1.05,The Barren Crown
$1.29,40,$0.81,Exalted Call of the Bladeform Legacy
$0.30,,,Heroic Snowdrop Tassels
$1.79,6,$1.73,Inscribed Battle Banner of the Masked
$0.66,123,$0.65,Arsenal of the Bladekeeper
$6.87,9,$6.63,Shadow in the Deep Back
$0.55,1,$0.55,Bracer of Eternal Night
$3.24,15,$3.24,Blade of the Survivor
$6.69,23,$6.31,Empyrean
$1.78,60,$1.49,Alluvion Prophecy
$3.77,195,$3.88,Arms of Desolation
$3.79,16,$4.18,Belt of the Survivor
$7.60,12,$7.32,Bracers of the Survivor
$0.74,201,$0.78,Shearing Deposition
$2.19,13,$1.26,Shoulders of the Survivor
$2.41,10,$2.41,Skywarrior's Countenance
$1.80,57,$1.81,Solar Forge
$0.29,149,$0.26,Taunt: Heavenly Jump!
$0.29,58,$0.33,Gauntlet of the Treacherous Demon
$8.66,4,$8.20,Genuine Claddish Cudgel
$0.49,32,$0.52,Genuine Fluttering Staff
$0.80,1,$0.71,Genuine White Sentry
$0.89,13,$0.82,Helm of the Elemental Imperator
$0.69,42,$0.62,Taunt: Get Burned
$0.26,26,$0.26,Touch of the Bewitching Flare
$11.20,11,$11.25,The Hallows Within
$0.41,,,Heroic Chronite Scepter
$1.03,53,$1.03,Immortal Treasure I 2017
$0.10,,,Heroic Bracers of the Tentacular Timelord
$0.96,,,Heroic Sceptre of the Throne
$0.25,,,Heroic Staff of Divine Ascension
$0.87,14,$0.90,Pelt of Odocoeleus
$0.23,,,Inscribed Gauntlets of Sacred Light
$0.41,1,$0.35,Bracers of the Sea Djinn
$0.76,,,Heroic Bright Moon Jeonmo
$0.93,,,Heroic Emerald Frenzy Flail
$0.53,,,Heroic Hood of the Demonic Vessel
$0.38,,,Heroic Noctis the Heavenly Qilin Guardian
$3.74,62,$3.61,Concord Dominion
$0.81,16,$0.80,Winds of Conquest
$3.86,22,$1.13,Infused Armor of the Fearful Aria
$0.64,12,$0.65,Azuremir
$7.84,3,$8.02,Blades of the Foulfell Corruptor
$3.50,21,$3.04,Infused Tunic of the Wandering Flame
$0.87,49,$0.83,Kinetic: Bladekeeper's Omnislash
$0.37,121,$0.36,Taunt: Backstroke!
$0.34,41,$0.36,Headdress of the Rekindled Ashes
$0.37,530,$0.37,Savage Mettle
$0.35,357,$0.31,Glare of the Tyrant
$0.39,307,$0.38,The Order of Cyprin
$0.83,442,$0.81,Unbroken Fealty
$1.21,12,$1.22,Autographed Ice Blossom
$1.65,256,$1.55,Mantle of the Whispered Bond
$0.60,241,$0.62,Wraithbinder
$2.41,198,$2.34,Chaos Arbiter
$1.00,147,$1.01,Mask of the Confidant
$0.40,356,$0.43,Tempest Revelation
$4.29,68,$4.20,Astral Drift
$0.36,407,$0.34,Bloodfeather Feast
$0.47,424,$0.47,Pyrexaec Flux
$0.61,716,$0.59,Edge of the Lost Order
$0.36,460,$0.35,Malefic Drake's Strike
$6.44,1,$6.39,Arsenal of the Demonic Vessel
$1.43,292,$1.44,Mantle of the Cinder Baron
$2.50,7,$2.53,Autographed Cult of Aktok
$2.15,16,$2.07,Mask of the Hunt Eternal
$2.32,55,$2.36,Arena Champion Armor
$4.21,24,$4.17,Infused Claws of the Ferocious Heart
$5.23,33,$4.40,Infused Claws of the Ferocious Heart
$2.35,8,$2.33,Infused Gauntlet of the Infernal Rambler
$2.56,20,$3.95,Unusual Blazing Hatchling
$1.30,19,$1.30,Span of the Temple of the Fallen Sun
$0.58,30,$0.53,Robe of the Winter Revenant
$3.41,34,$3.15,Golden Ice Blossom
$5.23,33,$4.40,Infused Claws of the Ferocious Heart
$2.35,8,$2.33,Infused Gauntlet of the Infernal Rambler
$3.41,34,$3.15,Golden Ice Blossom
$1.21,233,$1.16,Monarch of the Sapphire Glen
$1.09,104,$1.11,Orb of Deliverance
$7.37,38,$6.36,Masque of Awaleb
$2.00,36,$2.02,Bonkers of Awaleb
$1.11,33,$0.63,Inscribed Resistive Pinfold
$1.35,52,$1.37,Inscribed Sufferwood Sapling
$1.51,116,$1.37,Yulsaria's Glacier
$12.20,,,Loft Watcher
$9.20,39,$8.95,Mulctant Pall
$0.35,7,$0.29,Inscribed Yulsaria's Mantle
$2.83,15,$2.18,Offhand Blade of the Survivor
$4.00,130,$3.99,Origins of Faith
$0.84,4,$0.92,Overseer's Burden
$0.42,11,$0.34,Wardfish
$0.89,120,$0.95,Taunt: Timeless Classic
,382,$0.48,Blastforge Exhaler
$0.87,293,$0.98,Malefic Drake's Hood
$0.96,293,$0.98,Malefic Drake's Hood
$0.61,13,$0.59,The Witch Hunter
$1.45,39,$1.09,Inscribed Atomic Ray Thrusters
$0.41,132,$0.44,Wrath of Ka Cursor Pack
$13.66,,,Inscribed Corpse Hive of Grim Reformation
$0.63,110,$0.41,Inscribed Draining Wight
,,,Inscribed Helm of Grim Reformation
$1.32,38,$1.31,Inscribed Iron Surge
$5.99,7,$4.89,Inscribed Pale Mausoleum
$0.69,11,$0.66,Cyclopean Marauder
$0.47,16,$0.47,Dreadhawk Armor
$1.30,15,$1.05,Vanquishing Demons General
$9.02,14,$7.85,Scree'auk's Talon
$0.83,61,$0.84,Worship of the Sleepless Sect
$0.30,11,$0.28,Inscribed Eye of Omoz
$0.86,65,$0.89,Belt of the King Restored
$0.43,1,$0.44,Genuine Moonrift
$3.77,78,$1.97,Genuine Winterblight
$8.64,19,$8.59,Pachyderm Powderwagon
$4.11,,,Inscribed Latticean Shards
$3.81,13,$3.52,Genuine The Golden Barb of Skadi
$8.46,10,$7.48,Shadow in the Deep Bracers
$3.54,,,Autographed Trove Carafe 2019 Autographed by Bing 'kiko' Quan
$0.66,47,$0.65,Hunger of the Howling Wilds Arms
$4.97,3,$4.46,Genuine Pale Edge
$0.46,92,$0.45,Weapon of the Forgotten Plane
$0.17,,,Autograph: Stephen Dong Suk 'CyNiCaL-' Chung
$0.30,7,$0.32,Belt of the Coastal Kingdom
$0.15,15,$0.10,International 2021 Autograph: Ams
$1.95,,,Unusual Determined Greevil
$0.94,77,$0.89,Inscribed Shock of the Anvil
$1.17,36,$1.32,Inscribed Tormented Staff
$1.79,52,$1.25,Inscribed Yulsaria's Glacier
$0.42,111,$0.39,Mantle of the Blackguard Magus
$0.60,5,$0.60,Mantle of the Outland Ravager
$2.50,39,$2.35,Golden Cyrridae
$2.37,111,$2.38,Piston Impaler
$1.43,3,$1.95,Armor of the Outland Ravager
$0.38,2,$0.38,Bracers of the Outland Ravager
$8.88,3,$8.89,Burning Shield of the Outland Ravager
$0.27,83,$0.31,Shoulders of the Bladesrunner
$5.78,,,Dragon of the Outland Ravager
$1.04,183,$0.98,Sufferwood Sapling
$0.77,89,$0.78,Symbol of the King Restored
$0.52,66,$0.55,Taunt: Beautiful Snowangel
$0.32,234,$0.33,Taunt: Chicken!
$1.16,128,$1.02,Taunt: Funk of the Dead
$1.17,81,$1.05,Taunt: Raging Bull
$0.61,299,$0.61,Taunt: The Master Juggles
$2.64,90,$2.53,Siltbreaker Reward
$2.57,47,$2.58,Gambits of Nishai
$2.53,44,$2.09,Menace of the Forlorn Maze
$0.14,,,International 2016 Autograph: Toby 'TobiWan' Dawson
$3.00,1,$2.67,Inscribed Golden Cyrridae
$8.86,10,$7.59,Pauldrons of the Demon Trickster
$0.55,47,$0.51,Swine Powder Barrel
$0.50,93,$0.50,Lycosidae's Favor
$1.41,281,$1.41,Wings of Daybreak
$0.53,59,$0.31,Markings of the King Restored
$0.40,68,$0.33,Inscribed Rollermawster
$0.57,311,$0.56,Crimson Pique
$0.82,396,$0.82,Crown of Tears
$0.62,30,$0.62,Dragon's Breath
$0.41,398,$0.42,Controlled Burn
$0.58,15,$0.63,Dark Curator
$0.88,12,$0.79,Inscribed Fireborn Odachi
$3.33,46,$3.41,Taunt: Goin' Bananas
$0.30,46,$0.30,Sanguine Royalty
$1.27,17,$1.16,Mentor of the High Plains
$1.04,3,$0.99,Helm of the Outland Ravager
$0.18,9,$0.18,Frozen Lament of the Slain
$7.38,13,$7.62,Kinetic: Fireborn Assault
$3.00,34,$3.00,Thirst of Eztzhok Blade
$2.60,15,$2.22,Arc of the Sovereign Belt
$2.56,33,$2.36,Thirst of Eztzhok - Off-Hand
$0.51,103,$0.53,Taunt: Ghostriding
$6.10,6,$5.73,Cloak of the Dark Reservoir
$2.24,6,$2.20,Autographed Crazed Tassels of the Black Death
$5.20,4,$2.76,Inscribed Tines of Tybara
$0.60,5,$0.61,Inscribed Pyrexaec Flux
$1.54,178,$1.49,Iron Surge
$0.39,10,$0.41,Inscribed First of the Flood
$0.64,2,$0.59,Inscribed Arms of the Captive Princess
$3.10,2,$3.09,Inscribed Bitter Lineage
$1.93,144,$1.92,Fin King's Charm
$1.09,152,$1.10,Shock of the Anvil
$4.04,110,$2.20,Inscribed Magus Apex
$2.00,5,$2.12,Armature of the Belligerent Ram
$4.49,1,$3.68,Smoldering Journey
$5.34,8,$3.51,Inscribed Flourishing Lodestar
$0.98,509,$0.95,Scavenging Guttleslug
$2.24,35,$2.22,Infused Mantle of the Blackguard Magus
$1.50,95,$0.95,Inscribed Basher of Mage Skulls
$7.28,10,$5.94,Inscribed Golden Offhand Basher of Mage Skulls
$2.68,1,$2.69,Inscribed Chaos Arbiter
$0.70,160,$0.69,Club of the Igneous Stone
$0.87,1,$0.69,Autograph: 'Ams'
$2.82,56,$2.82,Taunt: Foolish Gallantry
$7.15,5,$6.33,Auspicious Kunkka's Shadow Blade
$0.16,3,$0.16,Dragon Scale
$9.34,24,$9.33,Golden Scavenging Guttleslug
$2.31,16,$2.23,Dirgesworn Dynasty
$4.15,,,Corrupted Yulsaria's Mantle
$8.24,,,Corrupted Yulsaria's Glacier
$0.97,137,$0.93,Plague Baron
$0.81,36,$0.77,Inscribed Kindred of the Iron Dragon
$0.71,300,$0.74,Crimson Cyrridae
$0.60,66,$0.53,Inscribed Mecha Boots of Travel Mk III
$0.60,553,$0.60,Full-Bore Bonanza
$2.02,72,$2.03,Golden Chaos Fulcrum
$0.52,12,$0.42,Beard of the Royal Butcher
$8.81,,,Autographed Grasping Bludgeon
$0.38,8,$0.37,Autographed Mark of the First Hunt
$2.16,12,$2.05,Sapphire Sabre-Lynx
$0.35,4,$0.33,Beyond the Summit HUD
$1.31,72,$1.36,Bow of the Beholder
$5.79,173,$5.78,Focal Resonance
$1.68,18,$1.01,Fan of the Royal Butcher
$0.31,2,$0.32,Genuine Frost Owl's Beacon
$1.41,4,$1.27,Genuine Gravelmaw
$7.82,,,Genuine Mania's Mask
$1.22,3,$1.23,Genuine Nightsilver Gryphon
$0.27,16,$0.28,Genuine Sven's Revenge
$0.35,37,$0.32,Infused Blade of Prismatic Grace
$0.38,8,$0.38,Trappings of the Ravenous Fiend
$1.16,24,$0.92,Darkwood Witness Belt
$1.32,3,$1.42,Inscribed Severing Lash
$7.48,10,$5.25,Inscribed Crystal Dryad
$1.66,5,$1.64,Announcer: Monkey King
$0.58,11,$0.58,Prismatic: Brusque Britches Beige
$0.34,3,$0.29,Autographed Latticean Hierarchy
$0.23,30,$0.24,Seven-Sealed the Fur Bracer
$8.65,12,$7.17,Pack of the Ardalan Interdictor
$7.84,5,$6.69,Bracers of the Ardalan Interdictor
,,,Autographed Bracers of the Ardalan Interdictor
$7.63,7,$7.55,Colar of the Ardalan Interdictor
$8.19,8,$7.33,Inscribed Golden Basher of Mage Skulls
$14.92,8,$14.61,Provocation of Ruin Mask
$8.19,5,$6.73,Provocation of Ruin Bracers
$0.28,24,$0.28,Executioner's Trophies
$6.56,43,$6.51,Genuine Molten Claw
$0.36,7,$0.40,Inscribed Maraxiform's Ire
$5.41,8,$5.40,Infused Helm of the Dark Moon Stalker
$5.23,4,$6.94,Humanity's Last Breath: Void Music Pack
$2.92,21,$1.11,Inscribed Razzil's Midas Knuckles
$6.29,33,$6.12,Announcer: Rick and Morty
$13.80,3,$13.40,Genuine Kunkka's Shadow Blade
$8.13,20,$8.45,Golden Basher of Mage Skulls
$2.60,31,$2.19,Golden Fortune's Tout
$0.62,607,$0.62,Staff of Gun-Yu
$0.47,403,$0.52,Maw of Eztzhok
$0.46,156,$0.46,Span of Black Nihility
$0.09,,,Heroic Staff of the Malevolent
$4.04,42,$3.71,Jagged Honor Mask
$0.27,27,$0.25,Bogmarch Garb
$0.97,11,$0.90,Agaric Flourish
$2.45,8,$1.87,Dragon's Ascension
$13.85,23,$10.41,Voidhammer
$4.68,,,Inscribed Astral Drift
$1.05,51,$0.90,Yuno Autograph Avatar - The International 2021
$0.58,,,Inscribed Lance of the Lionsguard
$0.21,,,Autograph: Viktor 'GodHunt' Volkov
$1.79,,,Autograph: Wang 'Banana' Jiao
$4.21,2,$2.71,Inscribed Golden Chaos Fulcrum
$1.27,16,$0.96,Inscribed Golden Crucible of Rile
$0.53,439,$0.50,Lineage Broken Scale
$5.37,1,$3.27,Inscribed Golden Shadow Masquerade
$1.08,132,$1.00,Pachyderm Powderwagon Elephant
$1.72,18,$1.75,Gifts of the Vanished Isle Set
$7.59,20,$6.50,Golden Offhand Basher of Mage Skulls
$0.46,119,$0.42,Eye of the Lost Star
$3.45,14,$3.40,Darktrench Stalker - Misc
$1.39,166,$1.37,Ice Blossom
$0.26,54,$0.22,Lineage Armor of the Raidforged Rider
$0.84,24,$0.84,Mind of Endless Days
$0.25,48,$0.23,Garb of the Rain Forest Refugee
$2.41,1,$1.14,Autographed Golden Piscean Pulverizer
$2.55,1,$2.35,Inscribed Gimlek Decanter
$0.19,,,Inscribed Helm of Zhuzhou
$1.69,77,$1.21,Inscribed Jewel of Aeons
$0.78,72,$0.79,Inscribed Merry Wanderer's Brush
$9.11,1,$6.86,Inscribed Sword of the Bladeform Aesthete
$2.37,26,$2.33,Inscribed Thirst of Eztzhok - Off-Hand
$1.04,7,$0.72,Inscribed White Sentry
$3.14,40,$3.36,Latticean Shards
$2.87,272,$2.85,Magus Apex
$0.92,8,$1.00,Verna
$0.32,6,$0.33,Head of the Apex Explorer
$1.86,16,$1.86,Flight of the Undying Light
$0.11,,,Inscribed Trap Jaw
$0.92,28,$0.87,Trail of the Fearful Aria
$0.30,30,$0.30,Sash of the Fearful Aria
$0.95,43,$0.95,Kinetic: Torrent of the Divine Anchor
$0.69,24,$0.64,Exalted Voice of Flockheart's Gamble
$2.43,124,$2.45,Gimlek Decanter
$0.46,228,$0.34,Taunt: Make It Rain
$0.58,287,$0.59,Taunt: To Hell and Back!
$0.46,68,$0.48,Arena Champion Belt
$6.48,22,$6.54,Grasping Bludgeon
